"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Page Follower",55-64,female,ขายทองแล้วได้ราคาไม่สูง,380.07,2213,4845,90,683,2,80,5,3,1116,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",366.99,39049,49830,,57,,19,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",35-44,female,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",360.96,3833,5950,330,4044,2,401,2,3,5695,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",351.34,35901,49315,,65,,19,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,female,ขายทองแล้วได้ราคาไม่สูง,348.09,1903,5848,83,391,,55,1,3,604,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,male,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",346.51,1872,5253,66,51,1,21,,1,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,female,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",335.65,1718,5589,62,47,,13,,2,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,male,"เหรียญเก่า 5 เหรียญที่เก็บไว้",318.26,2049,5307,80,658,,87,5,4,936,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",45-54,female,"เหรียญเก่า 5 เหรียญที่เก็บไว้",311.07,1825,5659,72,276,,38,2,,399,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,male,ขายทองแล้วได้ราคาไม่สูง,305.9,1668,4903,71,327,,38,,1,498,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,female,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",299.71,1923,4659,64,37,1,17,,1,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,male,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",296.8,2110,4232,61,27,1,16,,3,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,female,"เหรียญเก่า 5 เหรียญที่เก็บไว้",296.38,1522,3533,67,195,2,32,1,,261,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,female,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",293.33,3205,5019,258,3364,2,331,2,7,4797,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",55-64,female,"เหรียญเก่า 5 เหรียญที่เก็บไว้",287.65,1725,3920,88,330,1,38,1,,464,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",224.47,27311,33709,1,36,,9,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,male,"เหรียญเก่า 5 เหรียญที่เก็บไว้",205.28,1145,2459,44,260,,31,1,1,349,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,female,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",200.84,1813,3066,186,2371,,181,2,2,2995,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,male,ขายทองแล้วได้ราคาไม่สูง,197.14,1194,2583,49,218,1,26,1,3,357,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",189.12,19912,26335,,48,,19,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",65+,male,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",150.34,1320,2312,139,1749,1,151,1,8,2232,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",108.88,10387,14042,,23,,4,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,male,"เหรียญเก่า 5 เหรียญที่เก็บไว้",105.74,511,1293,21,73,,21,,1,97,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",102.86,15794,17249,,8,,2,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,male,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",101.24,444,1166,21,15,,9,1,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,male,ขายทองแล้วได้ราคาไม่สูง,83.14,479,1303,11,50,,10,1,,109,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,female,"เหรียญเก่า 5 เหรียญที่เก็บไว้",76.18,361,793,14,26,,4,1,,28,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,female,ขายทองแล้วได้ราคาไม่สูง,74.82,353,774,15,55,,11,,,89,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,male,"รับซื้อหมด ทอง เงืน นาก",71.53,10220,10693,,14,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,male,"รับซื้อหมด ทอง เงืน นาก",69.5,9136,9811,,7,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",65.74,8703,9948,,10,,2,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,female,"ขายทอง เงิน นาก ต้องได้ราคาตามจริง",64.43,359,817,9,6,,4,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,male,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",57.99,658,1116,52,752,,72,3,1,1057,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,male,"รับซื้อหมด ทอง เงืน นาก",50.37,7418,7784,,6,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,male,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",44.79,6635,6985,,6,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,male,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",44.34,5911,6218,,6,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",18-24,female,"มีเงิน ทอง นาก เก่า ไม่ได้ใช้ อย่าทิ้งไว้ให้เสียเปล่า",35.25,401,657,28,460,,42,3,1,633,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,male,"รับซื้อหมด ทอง เงืน นาก",34.81,4508,4810,,10,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,male,"รับซื้อหมด ทอง เงืน นาก",32.39,4463,4556,,2,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",35-44,male,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",28.34,4439,4617,,3,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,male,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",26.33,3476,3618,,7,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,female,"รับซื้อหมด ทอง เงืน นาก",24.91,3392,3549,,5,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,female,"รับซื้อหมด ทอง เงืน นาก",22.51,3640,3725,,2,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",25-34,male,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",20.22,2664,2762,,5,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",18-24,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",20.06,2115,2687,,5,,3,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,unknown,ขายทองแล้วได้ราคาไม่สูง,15.74,40,70,3,2,,1,,,3,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",55-64,female,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",15.01,2092,2166,,3,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",45-54,female,"รับซื้อหมด ทอง เงืน นาก - สีเหลือง",14.07,2600,2623,,1,,,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Awareness - Chonburi",65+,female,"รับซื้อหมด ทอง เงืน นาก",13.04,1714,1788,,1,,1,,,,,2026-08-01,2026-08-31
"2105 | MOD - GSM | Page Follower",25-34,unknown,"เหรียญเก่า 5 เหรียญที่เก็บไว้",11.41,43,79,3,7,,3,,,4,,2026-08-01,2026-08-31
