"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,female,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",2.93,61,79,,64,,1,,,77,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",2.65,167,398,,26,,,,,309,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",25-34,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",2.5,43,48,,10,,6,,,43,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",2.44,105,149,,110,,2,,,149,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,male,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",2.28,71,78,,57,,,,,76,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,male,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",2.18,75,80,,56,,,,,78,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",55-64,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",2.14,10,11,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",18-24,unknown,"การันตี ราคาตามจริง",2.04,20,97,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.99,145,305,,22,,,,,247,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,unknown,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",1.99,39,49,,3,,,,,35,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",65+,female,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",1.61,44,52,,43,,,,,51,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.57,106,241,,18,,,,,199,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",65+,male,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",1.52,39,45,,39,,,,,43,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,unknown,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",1.45,24,40,,19,,3,,,37,2026-06-01,2026-06-29
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,unknown,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",1.45,82,197,,15,,1,,,180,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",35-44,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",1.44,23,25,,21,,,,,25,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,female,"เฮียหลอม สาขาพัทยาใต้ มายังไง! 3 - 30 June",1.36,39,42,,32,,,,,41,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,male,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",1.33,56,60,,44,,1,,,59,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",65+,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",1.29,56,70,,48,,,,,68,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,male,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",1.28,34,39,,25,,,,,38,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",25-34,female,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",1.23,28,30,,26,,,,,30,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",45-54,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,1.08,9,9,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,unknown,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",0.95,9,26,,6,,2,,,21,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",65+,female,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",0.93,24,28,,25,,,,,27,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",25-34,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",0.87,15,17,,14,,,,,16,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",35-44,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",0.72,26,33,,6,,2,,,28,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",65+,male,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",0.64,25,29,,16,,,,,27,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",25-34,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.63,8,8,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,unknown,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",0.55,8,9,,3,,,,,9,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,unknown,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",0.46,4,8,,2,,,,,8,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,unknown,"เมื่อลูกค้าต้องขายของที่รักที่สุ 19 - 30 June",0.44,12,14,,3,,1,,,14,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,unknown,"เบื่อรอนานขั้นตอนเยอะ มาที่เฮียหลอมเลย! 12 - 30 June",0.39,12,14,,3,,,,,12,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",18-24,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",0.36,7,7,,4,,,,,7,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",45-54,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",0.36,7,9,,6,,1,,,9,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",65+,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.34,5,5,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",65+,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",0.27,6,7,,5,,2,,,7,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",45-54,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",0.26,8,8,,1,,,,,7,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels 2 - Engagement |  2026",55-64,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้ 12 - 30 June",0.26,2,3,,5,,2,,,3,2026-06-01,2026-06-29
"2105 | MOD - GSM | Engagement |  2026",65+,unknown,"เครื่องเงินในบ้านบางอย่าง 3 - 30 June",0.19,9,9,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Post Promotion- VDO | 2026",55-64,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",0.19,5,6,,5,,,,,6,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",35-44,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.06,5,5,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",55-64,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.06,4,4,,,,,,,,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",55-64,unknown,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",0.04,1,1,,1,,,,,1,2026-06-01,2026-06-29
"2105 | MOD - GSM | Reels - Engagement |  2026",45-54,unknown,"ทำไม? เฮียหลอมถึงให้ราคาสูงกว่า! 3 - 30 June - Copy",0.01,1,1,,1,,,,,1,2026-06-01,2026-06-29
"2105 | MOD - GSM | Page Follower | May 2026",18-24,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,0.01,1,1,,,,,,,,2026-06-01,2026-06-29
