"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays","Reporting starts","Reporting ends"
"2105 | MOD - GSM | Awareness | May 2026",65+,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,330.51,18652,43559,,48,,29,,,47,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",25-34,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,304.25,21314,39353,,27,,12,,,109,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,male,"ร้อนเงินเป็นไฟ สี่-05",299.08,34953,46198,,14,,10,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,male,"ร้อนเงินเป็นไฟ สี่-05",291.96,37939,43873,,11,,6,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",288.68,17086,34606,,2300,,3,2,,29485,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",277.92,17860,33058,,2184,,11,,,28514,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",18-24,male,"การันตี ราคาตามจริง",254.56,1264,3149,43,26,,20,,4,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,female,"ร้อนเงินเป็นไฟ สี่-05",239.06,29496,37701,,14,,13,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",45-54,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,230.48,15994,30406,,25,,10,,,47,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",226.09,11678,27734,,2192,,19,2,,26367,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",218.95,11480,26630,,2180,,6,2,,24165,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,male,"ร้อนเงินเป็นไฟ สี่-05",206.31,27894,33084,,4,,3,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",196.32,14139,23413,,1104,,,,,21370,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,female,"ร้อนเงินเป็นไฟ สี่-05",190.31,24437,29745,,8,,6,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",18-24,female,"การันตี ราคาตามจริง",182.31,1343,2771,36,25,1,17,,3,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",18-24,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,168.39,11553,21782,,28,,8,,,129,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,male,"ร้อนเงินเป็นไฟ สี่-05",167.12,19459,26235,,5,,5,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,female,"ร้อนเงินเป็นไฟ สี่-05",154.5,18029,23608,,11,,11,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",18-24,male,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,147.08,1016,2211,21,13,,9,,1,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",143.58,7644,17504,,1289,,8,,,16708,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",123.45,7082,14441,,944,,5,,,13519,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",123.28,9787,14349,,489,,3,1,,13323,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,female,"ร้อนเงินเป็นไฟ สี่-05",119.66,16054,18419,,2,,1,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",18-24,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,107.97,858,1703,24,13,,10,,1,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",35-44,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,95.23,7794,12530,,16,,2,,,68,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,female,"ร้อนเงินเป็นไฟ สี่-05",82.41,12534,13474,,3,,3,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",25-34,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,82.07,6583,10517,,11,,1,,,80,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",76.76,5640,9117,,534,,3,,,8199,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,male,"ร้อนเงินเป็นไฟ สี่-05",62.88,7751,9581,,2,,1,,,1,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness | May 2026",18-24,female,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,56.88,4031,7278,,10,,2,,,163,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 02",56.44,3744,6558,,436,,2,,,5847,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",47.28,4868,5944,,709,,2,,,5313,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",39.74,3926,4949,,468,,1,,,4216,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",29.11,3087,3653,,460,,3,,,3482,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",27.06,2706,3348,,241,,,,,2741,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",24.89,2408,3092,,353,,2,,,2792,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,female,"ร้อนเงินเป็นไฟ สี่-05",22.4,3198,3746,,2,,2,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",19.9,2049,2509,,173,,1,,,2067,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",35-44,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,18.34,31,93,1,1,,1,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",17.15,1796,2126,,252,,1,,,2032,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",25-34,unknown,"การันตี ราคาตามจริง",15.15,38,67,1,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",25-34,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,14.69,36,102,3,1,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",13.83,1487,1716,,139,,,,,1590,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",35-44,unknown,"การันตี ราคาตามจริง",13.75,28,99,4,2,,1,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,male,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",10.3,1043,1240,,53,,,,,1074,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",45-54,unknown,"การันตี ราคาตามจริง",9.23,19,52,1,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",55-64,unknown,"การันตี ราคาตามจริง",7.32,22,51,2,1,,1,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",65+,unknown,"การันตี ราคาตามจริง",6.66,19,50,2,2,,2,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",65+,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,6.6,20,41,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,male,"ร้อนเงินเป็นไฟ สี่-02",6.45,517,622,,1,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",18-24,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",6.12,683,728,,21,,,,,662,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,male,"ร้อนเงินเป็นไฟ สี่-02",6.05,649,767,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",25-34,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",4.76,508,612,,38,,,,,533,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,male,"ร้อนเงินเป็นไฟ สี่-07",4.5,529,608,,1,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,female,"VDO - ร้อนเงินเป็นไฟ สี่ - 01",4.46,495,577,,39,,,,,513,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",18-24,unknown,"การันตี ราคาตามจริง",4.42,14,35,2,2,,2,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Page Follower | May 2026",45-54,unknown,ก่อนขายที่ไหน…ลองเช็กที่เฮียหลอมก่อน,4.17,28,57,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,male,"ร้อนเงินเป็นไฟ สี่-02",3.93,443,516,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",35-44,male,"ร้อนเงินเป็นไฟ สี่-07",3.24,396,444,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,male,"ร้อนเงินเป็นไฟ สี่-07",2.94,381,401,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",45-54,female,"ร้อนเงินเป็นไฟ สี่-07",2.55,353,374,,,,,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",65+,male,"ร้อนเงินเป็นไฟ สี่-02",2.36,256,306,,1,,1,,,,2026-05-01,2026-05-31
"2105 | MOD - GSM | Awareness - Chonburi | May 2026",55-64,female,"ร้อนเงินเป็นไฟ สี่-07",2.22,276,296,,,,,,,,2026-05-01,2026-05-31
