"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Post Promotion- VDO | 2026",45-54,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",434.98,2187,6042,,5814,,,,,6012,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",35-44,female,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",428.03,2747,5055,,72,,31,1,,,5,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",426.03,2856,4313,212,1952,2,258,6,8,4069,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",25-34,male,"Awareness - สาขางามวงศ์วาน",413.62,45446,56786,,40,,15,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,female,"ของชิ้นเดียว ได้ราคาสองต่อ",385.02,3861,6064,127,142,3,109,,4,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,female,ลูกค้าตกใจกับราคา,373.75,2513,4218,138,2620,,142,8,2,4004,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",55-64,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",369.17,2625,5929,,5314,,7,,,5885,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",25-34,male,"Awareness - สาขาลาดกระบัง",368.1,16003,42840,1,3029,,19,1,1,39384,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",25-34,female,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",359.94,2485,4714,1,49,,17,,,,3,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",45-54,male,"Awareness - สาขาลาดกระบัง",351.58,13074,41092,,4409,,4,3,,37172,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,male,ลูกค้าตกใจกับราคา,351.1,2384,3571,112,2172,,137,7,3,3372,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",55-64,male,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",348.72,2139,4084,,59,1,14,,,,10,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",35-44,male,"Awareness - สาขาลาดกระบัง",323.15,13557,37493,,3401,,10,1,1,33874,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,male,ลูกค้าตกใจกับราคา,292.35,1937,3210,100,1407,1,116,4,1,3012,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,female,"ของชิ้นเดียว ได้ราคาสองต่อ",289.8,2703,4417,81,80,1,67,,2,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,female,"ของชิ้นเดียว ได้ราคาสองต่อ",289.39,2900,4832,104,90,1,71,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",45-54,female,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",286.72,1604,3007,1,37,,17,1,,,3,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,female,ลูกค้าตกใจกับราคา,280.52,1920,2845,90,1504,1,117,2,3,2675,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",25-34,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",279.96,3516,5063,,4236,,7,,,5012,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",35-44,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",277.81,2749,4610,,4030,,7,,,4581,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",258.59,1499,2160,116,1276,,141,6,7,2090,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",55-64,male,"Awareness - สาขาลาดกระบัง",245.93,8797,29122,,3704,,7,1,,27180,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",65+,male,"Awareness - สาขางามวงศ์วาน",245.44,23844,34723,,46,,13,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",65+,male,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",217.16,1218,2361,,53,,16,,,,5,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",55-64,female,"Awareness - สาขางามวงศ์วาน",208.66,22416,29845,,33,,9,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",18-24,male,"Awareness - สาขางามวงศ์วาน",187.82,19769,25486,,29,,6,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",18-24,male,"Awareness - สาขาลาดกระบัง",187.76,8194,22066,,1183,,9,,,20311,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",65+,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",169.65,1078,2627,,2436,,1,,,2609,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",45-54,female,"Awareness - สาขางามวงศ์วาน",162.42,20063,23782,,15,,6,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",18-24,male,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",161.49,1815,3515,1,30,,11,,,1,3,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,male,ลูกค้าตกใจกับราคา,158.16,1011,1719,62,1032,,64,3,6,1637,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,female,"ทองบางชิ้น ทำไมขายคืนยาก",141.59,1333,1796,26,27,,12,,2,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,male,"ทองบางชิ้น ทำไมขายคืนยาก",139.82,1531,2096,19,34,,8,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,male,"ทองบางชิ้น ทำไมขายคืนยาก",132.58,1305,1888,36,37,,19,,4,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",55-64,female,"Awareness - สาขาลาดกระบัง",125.27,4780,14877,,1846,,12,2,1,14278,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",55-64,female,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",122.13,733,1348,,18,1,7,,,,2,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",65+,female,"Awareness - สาขางามวงศ์วาน",120.36,13247,17560,,17,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",45-54,male,"รับซื้อหมด ทอง เงืน นาก",119.61,18236,18676,,23,,7,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",65+,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",119.24,1108,2091,,1781,,2,,,2078,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,female,"ทองบางชิ้น ทำไมขายคืนยาก",117.07,1430,1878,28,31,,12,2,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",45-54,female,"Awareness - สาขาลาดกระบัง",114.23,5055,13317,,1394,,1,1,,12699,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",65+,male,"Awareness - สาขาลาดกระบัง",113.59,4118,13612,,1781,,4,1,,12724,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",25-34,female,"Awareness - สาขาลาดกระบัง",99.44,5489,11495,,823,,3,,,10788,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",18-24,male,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",98.83,1524,2107,,1564,,2,,,2092,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",18-24,female,"Awareness - สาขาลาดกระบัง",93.47,4750,10995,,614,,2,1,,10309,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",25-34,female,"Awareness - สาขางามวงศ์วาน",93.03,11343,12968,,10,,1,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",35-44,female,"Awareness - สาขางามวงศ์วาน",92.23,12006,13747,,10,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",35-44,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",91.83,785,1419,,1321,,,,,1408,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",35-44,male,"รับซื้อหมด ทอง เงืน นาก",90.89,13981,14449,,10,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",45-54,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",80.96,1989,2768,25,11,1,8,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",35-44,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",80.27,1623,2219,18,12,,11,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",25-34,female,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",78.61,785,1289,,1181,,2,,1,1278,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",18-24,female,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",76.03,850,1807,,16,,5,,,1,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",65+,female,"Awareness - สาขาลาดกระบัง",74.58,2759,8881,,1071,,5,,,8504,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,male,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",71.1,548,898,30,373,1,55,5,2,849,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",35-44,female,"Awareness - สาขาลาดกระบัง",70.28,3893,8001,,743,,3,1,,7454,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",45-54,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",66.9,1794,2413,17,13,,13,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,male,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",62.42,1666,1892,,20,,16,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",18-24,female,"Awareness - สาขางามวงศ์วาน",61.49,7410,8442,,8,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,male,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",61.09,1597,1818,,11,,6,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",65+,female,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",61.07,407,682,,12,,5,1,,,1,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",35-44,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",59.84,1266,1604,10,10,,7,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,male,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",59.38,1698,1930,,12,,7,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,female,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",54.8,397,594,20,294,,31,2,1,567,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",35-44,male,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",54.02,703,822,,7,,2,,,,,2026-07-01,2026-07-21
