"Campaign name",Age,Gender,"Ad name","Amount spent (THB)",Reach,Impressions,"Facebook likes","Post engagements","Post comments","Post reactions","Post saves","Post shares","Video plays",Leads,"Reporting starts","Reporting ends"
"2105 | MOD - GSM | Lead Gen B2B | 2026",55-64,male,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",8.39,97,104,,2,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",55-64,female,"รับซื้อหมด ทอง เงืน นาก",8.33,1360,1371,,3,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,female,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",7.98,193,201,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,male,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",7.59,210,228,,3,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",65+,male,"รับซื้อหมด ทอง เงืน นาก",7.41,1031,1073,,2,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,female,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",7.1,163,177,,2,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,unknown,ลูกค้าตกใจกับราคา,6.98,27,42,1,16,,1,,,41,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,female,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",6.68,158,175,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",55-64,unknown,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",6.56,27,62,,1,,,,,,1,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",6.45,36,48,4,23,,4,,,46,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,unknown,ลูกค้าตกใจกับราคา,6.29,30,41,5,23,,2,,1,39,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,female,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",5.43,156,161,,3,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,unknown,ลูกค้าตกใจกับราคา,5.43,32,43,2,31,,1,1,,40,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,unknown,"ของชิ้นเดียว ได้ราคาสองต่อ",5.33,41,53,2,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,female,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",5.22,143,151,,3,,3,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",4.91,27,41,,21,,1,,,39,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,unknown,"ของชิ้นเดียว ได้ราคาสองต่อ",4.8,32,61,1,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,unknown,ลูกค้าตกใจกับราคา,4.69,11,17,2,12,,2,,,17,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",18-24,male,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",4.68,98,116,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",65+,male,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",4.39,40,45,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,unknown,"ของชิ้นเดียว ได้ราคาสองต่อ",4.17,20,39,1,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,male,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",3.96,109,119,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",55-64,female,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",3.68,45,52,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",55-64,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",3.5,580,607,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",18-24,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",3.5,60,71,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,male,"ทองบางชิ้น ทำไมขายคืนยาก",3.38,34,41,1,2,,1,,1,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",25-34,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",3.23,463,468,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",65+,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",3.16,459,463,,2,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,unknown,"ทองบางชิ้น ทำไมขายคืนยาก",3.06,2,2,1,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",18-24,unknown,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",2.95,43,77,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",65+,male,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",2.87,81,82,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",65+,male,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",2.85,63,72,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,male,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",2.78,98,100,,2,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",65+,female,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",2.78,50,60,,2,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,unknown,"ของชิ้นเดียว ได้ราคาสองต่อ",2.61,36,49,,1,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",65+,female,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",2.52,62,63,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",65+,male,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",2.46,59,69,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,male,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",2.39,72,78,,4,,2,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,female,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",2.37,65,72,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",18-24,female,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",2.35,55,65,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",45-54,unknown,"ทองบางชิ้น ทำไมขายคืนยาก",2.31,12,13,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,unknown,ลูกค้าตกใจกับราคา,2.26,17,20,,10,,,,,16,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",35-44,unknown,"ทองบางชิ้น ทำไมขายคืนยาก",2.21,12,20,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",18-24,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",2,73,86,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",65+,unknown,"ของล็อตใหญ่แค่ไหนก็รับ  - 10 July 2026",1.92,11,22,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",18-24,male,"รับซื้อหมด ทอง เงืน นาก",1.92,242,254,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",25-34,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",1.92,25,33,,28,,,,,33,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",65+,female,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",1.81,49,50,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,female,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",1.73,53,56,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",65+,female,"รับซื้อหมด ทอง เงืน นาก",1.71,242,254,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,female,"ทองบางชิ้น ทำไมขายคืนยาก",1.69,27,32,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",55-64,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",1.6,5,24,,23,,,,,24,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",18-24,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",1.4,19,30,,21,,,,,30,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",18-24,unknown,"Awareness - สาขาลาดกระบัง",1.35,72,165,,14,,,,,148,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",35-44,unknown,"Awareness - สาขาลาดกระบัง",1.31,46,153,,15,,,,,127,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",1.3,11,11,1,7,,2,,,11,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",25-34,unknown,"Awareness - สาขางามวงศ์วาน",1.28,155,187,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",45-54,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",1.19,16,20,,19,,,,,20,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,female,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",1.19,38,41,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",35-44,unknown,"Awareness - สาขางามวงศ์วาน",1.14,124,157,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",18-24,unknown,"Awareness - สาขางามวงศ์วาน",1.12,119,154,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,unknown,"ของชิ้นเดียว ได้ราคาสองต่อ",1.08,18,27,1,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",25-34,unknown,"Awareness - สาขาลาดกระบัง",1.07,54,127,,8,,1,,,118,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",25-34,female,"รับซื้อหมด ทอง เงืน นาก",1.05,152,158,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",65+,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.89,122,123,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",45-54,unknown,"Awareness - สาขางามวงศ์วาน",0.89,119,139,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",18-24,male,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.78,111,112,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",0.77,5,10,,2,,1,,,8,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",65+,female,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",0.73,21,21,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",65+,unknown,"Awareness - สาขางามวงศ์วาน",0.7,63,82,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",35-44,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",0.67,12,15,,12,,,,,14,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",45-54,unknown,"Awareness - สาขาลาดกระบัง",0.63,24,71,,8,,,,,51,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",25-34,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.61,83,83,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",55-64,unknown,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",0.59,2,3,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",55-64,unknown,"Awareness - สาขางามวงศ์วาน",0.55,63,94,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,unknown,ลูกค้าตกใจกับราคา,0.5,5,5,,1,,,,,5,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Post Promotion- VDO | 2026",65+,unknown,"ของเก่าแบบไหน... ก็จับมัดรวมมาขายได้ที่เฮียหลอม! 25 June - 31 July",0.45,3,7,,7,,,,,7,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",55-64,unknown,"ทองบางชิ้น ทำไมขายคืนยาก",0.44,2,2,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,unknown,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.44,9,9,,1,,1,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",55-64,unknown,"Awareness - สาขาลาดกระบัง",0.41,14,47,,10,,,,,40,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",35-44,unknown,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",0.4,7,7,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",35-44,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.38,6,6,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,unknown,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",0.3,9,10,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",18-24,female,"รับซื้อหมด ทอง เงืน นาก",0.3,43,43,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",45-54,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.28,7,8,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",25-34,unknown,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",0.27,7,7,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",35-44,unknown,"รับซื้อหมด ทอง เงืน นาก",0.23,35,35,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",65+,unknown,"รู้มั้ย? ที่เฮียหลอม ทำแบบนี้ได้",0.22,3,5,,2,,,,,5,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",45-54,unknown,"รับซื้อหมด ทอง เงืน นาก",0.21,30,30,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",65+,unknown,"Awareness - สาขาลาดกระบัง",0.19,13,25,,4,,,,,22,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",35-44,unknown,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.18,4,5,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,unknown,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.15,4,4,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",18-24,female,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.15,21,21,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,unknown,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.14,4,4,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,unknown,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",0.14,5,7,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower - Chonburi",55-64,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.13,4,5,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Lead Gen B2B | 2026",45-54,unknown,"พิเศษสำหรับลูกค้าธุรกิจ - 10 July 2026",0.12,3,4,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",18-24,unknown,"ของชิ้นเดียว ได้ราคาสองต่อ",0.12,2,9,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,unknown,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.12,1,2,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,unknown,"Test - 2 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.1,2,2,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,unknown,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",0.09,0,1,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",35-44,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.09,14,15,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",45-54,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.08,17,17,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",25-34,unknown,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.06,3,3,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",25-34,unknown,"รับซื้อหมด ทอง เงืน นาก",0.05,6,6,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Page Follower",25-34,unknown,"ทองบางชิ้น ทำไมขายคืนยาก",0.04,2,2,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",55-64,unknown,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",0.03,1,1,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",55-64,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.03,3,3,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",18-24,unknown,"Test - 3 - Album - ทองบางชิ้น ทำไมขายคืนยาก",0.02,2,2,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Engagement  | Test - July 2026",45-54,unknown,"Test - 1 - Single - ทองบางชิ้น ทำไมขายคืนยาก",0.01,1,1,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",25-34,unknown,"เฮียหลอมสาขา แยกคีรี รับซื้อราคาสูง",0.01,1,1,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness | July 2026",Unknown,unknown,"Awareness - สาขาลาดกระบัง",0,0,0,,1,,,,,1,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",65+,unknown,"รับซื้อหมด ทอง เงืน นาก",0,2,2,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",18-24,unknown,"รับซื้อหมด ทอง เงืน นาก",0,1,1,,,,,,,,,2026-07-01,2026-07-21
"2105 | MOD - GSM | Awareness - Chonburi",55-64,unknown,"รับซื้อหมด ทอง เงืน นาก",0,3,3,,,,,,,,,2026-07-01,2026-07-21
